Target;TargetType;TargetMethod;Job;JobMode;JobPlatform;JobJit;JobFramework;JobRuntime;Params;MeasurementLaunchIndex;MeasurementIterationMode;MeasurementIterationIndex;MeasurementNanoseconds;MeasurementOperations;MeasurementValue
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;9;201048346;8192;24542.03
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;10;214424625;8192;26174.88
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;1;195238146.5;8192;23832.78
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;2;202094033.5;8192;24669.68
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;3;198416766.5;8192;24220.8
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;4;199874314.5;8192;24398.72
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;5;196510365.5;8192;23988.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;6;197174346.5;8192;24069.13
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;7;199535907.5;8192;24357.41
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;8;204177648.5;8192;24924.03
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;9;201029066.5;8192;24539.68
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;Result;10;214405345.5;8192;26172.53
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;1;294327;4;73581.75
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;2;200580;8;25072.5
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;3;389451;16;24340.69
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;4;775608;32;24237.75
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;5;1546286;64;24160.72
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;6;3144224;128;24564.25
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;7;6182278;256;24149.52
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;8;12702561;512;24809.69
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;9;25793412;1024;25188.88
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;10;51903616;2048;25343.56
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;11;109280468;4096;26679.8
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;Pilot;12;205689058;8192;25108.53
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;1;29818;8192;3.64
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;2;26273;8192;3.21
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;3;26310;8192;3.21
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;4;26316;8192;3.21
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;5;23155;8192;2.83
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;6;23131;8192;2.82
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleWarmup;7;23158;8192;2.83
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleTarget;1;20646;8192;2.52
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleTarget;2;17003;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleTarget;3;21331;8192;2.6
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleTarget;4;20007;8192;2.44
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleTarget;5;19283;8192;2.35
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;2;IdleTarget;6;19274;8192;2.35
